_id,id,year,state_name,state_code,district_name,district_code,season,crop_code,crop_name,crop_type,area,area_unit,production,production_unit,yield,yield_unit
4014,4013, 1998-99,Karnataka,29,Davangere,535,Kharif     ,202,Arhar/Tur,Pulses,6657.0,Hectare,3428.0,Tonnes,0.51,Tonnes/Hectare
4015,4014, 1998-99,Karnataka,29,Dharwad,536,Kharif     ,202,Arhar/Tur,Pulses,2473.0,Hectare,611.0,Tonnes,0.25,Tonnes/Hectare
4016,4015, 1998-99,Karnataka,29,Gadag,537,Kharif     ,202,Arhar/Tur,Pulses,2449.0,Hectare,503.0,Tonnes,0.21,Tonnes/Hectare
4017,4016, 1998-99,Karnataka,29,Hassan,539,Kharif     ,202,Arhar/Tur,Pulses,3730.0,Hectare,858.0,Tonnes,0.23,Tonnes/Hectare
4018,4017, 1998-99,Karnataka,29,Haveri,540,Kharif     ,202,Arhar/Tur,Pulses,7477.0,Hectare,2216.0,Tonnes,0.3,Tonnes/Hectare
4019,4018, 1998-99,Karnataka,29,Kalaburagi,538,Kharif     ,202,Arhar/Tur,Pulses,273391.0,Hectare,124147.0,Tonnes,0.45,Tonnes/Hectare
4020,4019, 1998-99,Karnataka,29,Kolar,542,Kharif     ,202,Arhar/Tur,Pulses,12694.0,Hectare,11239.0,Tonnes,0.89,Tonnes/Hectare
4021,4020, 1998-99,Karnataka,29,Koppal,543,Kharif     ,202,Arhar/Tur,Pulses,13481.0,Hectare,2818.0,Tonnes,0.21,Tonnes/Hectare
4022,4021, 1998-99,Karnataka,29,Mandya,544,Kharif     ,202,Arhar/Tur,Pulses,2060.0,Hectare,959.0,Tonnes,0.47,Tonnes/Hectare
4023,4022, 1998-99,Karnataka,29,Mysuru,545,Kharif     ,202,Arhar/Tur,Pulses,6687.0,Hectare,1957.0,Tonnes,0.29,Tonnes/Hectare
4024,4023, 1998-99,Karnataka,29,Raichur,546,Kharif     ,202,Arhar/Tur,Pulses,19100.0,Hectare,3429.0,Tonnes,0.18,Tonnes/Hectare
4025,4024, 1998-99,Karnataka,29,Shivamogga,547,Kharif     ,202,Arhar/Tur,Pulses,508.0,Hectare,236.0,Tonnes,0.46,Tonnes/Hectare
4026,4025, 1998-99,Karnataka,29,Tumakuru,548,Kharif     ,202,Arhar/Tur,Pulses,15946.0,Hectare,6787.0,Tonnes,0.43,Tonnes/Hectare
4027,4026, 1998-99,Karnataka,29,Uttara Kannada,550,Kharif     ,202,Arhar/Tur,Pulses,204.0,Hectare,95.0,Tonnes,0.47,Tonnes/Hectare
4028,4027, 1998-99,Karnataka,29,Vijayapura,530,Kharif     ,202,Arhar/Tur,Pulses,14304.0,Hectare,5191.0,Tonnes,0.36,Tonnes/Hectare
4029,4028, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,103,Bajra,Cereals,48855.0,Hectare,52375.0,Tonnes,1.07,Tonnes/Hectare
4030,4029, 1998-99,Karnataka,29,Ballari,528,Kharif     ,103,Bajra,Cereals,25918.0,Hectare,24114.0,Tonnes,0.93,Tonnes/Hectare
4031,4030, 1998-99,Karnataka,29,Ballari,528,Rabi       ,103,Bajra,Cereals,451.0,Hectare,536.0,Tonnes,1.19,Tonnes/Hectare
4032,4031, 1998-99,Karnataka,29,Ballari,528,Summer     ,103,Bajra,Cereals,846.0,Hectare,498.0,Tonnes,0.59,Tonnes/Hectare
4033,4032, 1998-99,Karnataka,29,Belagavi,527,Kharif     ,103,Bajra,Cereals,30894.0,Hectare,8901.0,Tonnes,0.29,Tonnes/Hectare
4034,4033, 1998-99,Karnataka,29,Bidar,529,Kharif     ,103,Bajra,Cereals,13994.0,Hectare,6398.0,Tonnes,0.46,Tonnes/Hectare
4035,4034, 1998-99,Karnataka,29,Chamarajanagara,531,Kharif     ,103,Bajra,Cereals,790.0,Hectare,548.0,Tonnes,0.69,Tonnes/Hectare
4036,4035, 1998-99,Karnataka,29,Chitradurga,533,Kharif     ,103,Bajra,Cereals,8649.0,Hectare,6113.0,Tonnes,0.71,Tonnes/Hectare
4037,4036, 1998-99,Karnataka,29,Davangere,535,Kharif     ,103,Bajra,Cereals,914.0,Hectare,515.0,Tonnes,0.56,Tonnes/Hectare
4038,4037, 1998-99,Karnataka,29,Gadag,537,Kharif     ,103,Bajra,Cereals,1190.0,Hectare,598.0,Tonnes,0.5,Tonnes/Hectare
4039,4038, 1998-99,Karnataka,29,Haveri,540,Kharif     ,103,Bajra,Cereals,892.0,Hectare,589.0,Tonnes,0.66,Tonnes/Hectare
4040,4039, 1998-99,Karnataka,29,Kalaburagi,538,Kharif     ,103,Bajra,Cereals,74628.0,Hectare,47736.0,Tonnes,0.64,Tonnes/Hectare
4041,4040, 1998-99,Karnataka,29,Kolar,542,Kharif     ,103,Bajra,Cereals,172.0,Hectare,81.0,Tonnes,0.47,Tonnes/Hectare
4042,4041, 1998-99,Karnataka,29,Koppal,543,Kharif     ,103,Bajra,Cereals,54118.0,Hectare,26932.0,Tonnes,0.5,Tonnes/Hectare
4043,4042, 1998-99,Karnataka,29,Mandya,544,Kharif     ,103,Bajra,Cereals,5.0,Hectare,2.0,Tonnes,0.4,Tonnes/Hectare
4044,4043, 1998-99,Karnataka,29,Mysuru,545,Kharif     ,103,Bajra,Cereals,6.0,Hectare,3.0,Tonnes,0.5,Tonnes/Hectare
4045,4044, 1998-99,Karnataka,29,Raichur,546,Kharif     ,103,Bajra,Cereals,65722.0,Hectare,42536.0,Tonnes,0.65,Tonnes/Hectare
4046,4045, 1998-99,Karnataka,29,Tumakuru,548,Kharif     ,103,Bajra,Cereals,376.0,Hectare,176.0,Tonnes,0.47,Tonnes/Hectare
4047,4046, 1998-99,Karnataka,29,Vijayapura,530,Kharif     ,103,Bajra,Cereals,88693.0,Hectare,64614.0,Tonnes,0.73,Tonnes/Hectare
4048,4047, 1998-99,Karnataka,29,Chikkamagaluru,532,Whole Year ,501,Black Pepper,Spices,647.0,Hectare,711.0,Tonnes,1.1,Tonnes/Hectare
4049,4048, 1998-99,Karnataka,29,Dakshina Kannada,534,Whole Year ,501,Black Pepper,Spices,860.0,Hectare,1992.0,Tonnes,2.32,Tonnes/Hectare
4050,4049, 1998-99,Karnataka,29,Davangere,535,Whole Year ,501,Black Pepper,Spices,2.0,Hectare,5.0,Tonnes,2.5,Tonnes/Hectare
4051,4050, 1998-99,Karnataka,29,Hassan,539,Whole Year ,501,Black Pepper,Spices,211.0,Hectare,232.0,Tonnes,1.1,Tonnes/Hectare
4052,4051, 1998-99,Karnataka,29,Kodagu,541,Whole Year ,501,Black Pepper,Spices,1580.0,Hectare,4489.0,Tonnes,2.84,Tonnes/Hectare
4053,4052, 1998-99,Karnataka,29,Mandya,544,Whole Year ,501,Black Pepper,Spices,3.0,Hectare,7.0,Tonnes,2.33,Tonnes/Hectare
4054,4053, 1998-99,Karnataka,29,Mysuru,545,Whole Year ,501,Black Pepper,Spices,5.0,Hectare,13.0,Tonnes,2.6,Tonnes/Hectare
4055,4054, 1998-99,Karnataka,29,Shivamogga,547,Whole Year ,501,Black Pepper,Spices,732.0,Hectare,2073.0,Tonnes,2.83,Tonnes/Hectare
4056,4055, 1998-99,Karnataka,29,Udupi,549,Whole Year ,501,Black Pepper,Spices,223.0,Hectare,517.0,Tonnes,2.32,Tonnes/Hectare
4057,4056, 1998-99,Karnataka,29,Uttara Kannada,550,Whole Year ,501,Black Pepper,Spices,124.0,Hectare,303.0,Tonnes,2.44,Tonnes/Hectare
4058,4057, 1998-99,Karnataka,29,Chamarajanagara,531,Whole Year ,506,Cardamom,Spices,16.0,Hectare,1.0,Tonnes,0.06,Tonnes/Hectare
4059,4058, 1998-99,Karnataka,29,Chikkamagaluru,532,Whole Year ,506,Cardamom,Spices,2569.0,Hectare,158.0,Tonnes,0.06,Tonnes/Hectare
4060,4059, 1998-99,Karnataka,29,Dakshina Kannada,534,Whole Year ,506,Cardamom,Spices,518.0,Hectare,24.0,Tonnes,0.05,Tonnes/Hectare
4061,4060, 1998-99,Karnataka,29,Hassan,539,Whole Year ,506,Cardamom,Spices,7105.0,Hectare,345.0,Tonnes,0.05,Tonnes/Hectare
4062,4061, 1998-99,Karnataka,29,Kodagu,541,Whole Year ,506,Cardamom,Spices,9325.0,Hectare,582.0,Tonnes,0.06,Tonnes/Hectare
4063,4062, 1998-99,Karnataka,29,Shivamogga,547,Whole Year ,506,Cardamom,Spices,237.0,Hectare,18.0,Tonnes,0.08,Tonnes/Hectare
4064,4063, 1998-99,Karnataka,29,Uttara Kannada,550,Whole Year ,506,Cardamom,Spices,448.0,Hectare,25.0,Tonnes,0.06,Tonnes/Hectare
4065,4064, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1002,Castor Seed,Oilseeds,71.0,Hectare,61.0,Tonnes,0.86,Tonnes/Hectare
4066,4065, 1998-99,Karnataka,29,Ballari,528,Kharif     ,1002,Castor Seed,Oilseeds,508.0,Hectare,433.0,Tonnes,0.85,Tonnes/Hectare
4067,4066, 1998-99,Karnataka,29,Bangalore Rural,526,Kharif     ,1002,Castor Seed,Oilseeds,3417.0,Hectare,3840.0,Tonnes,1.12,Tonnes/Hectare
4068,4067, 1998-99,Karnataka,29,Belagavi,527,Kharif     ,1002,Castor Seed,Oilseeds,323.0,Hectare,276.0,Tonnes,0.85,Tonnes/Hectare
4069,4068, 1998-99,Karnataka,29,Bengaluru Urban,525,Kharif     ,1002,Castor Seed,Oilseeds,351.0,Hectare,299.0,Tonnes,0.85,Tonnes/Hectare
4070,4069, 1998-99,Karnataka,29,Chamarajanagara,531,Kharif     ,1002,Castor Seed,Oilseeds,928.0,Hectare,429.0,Tonnes,0.46,Tonnes/Hectare
4071,4070, 1998-99,Karnataka,29,Chikkamagaluru,532,Kharif     ,1002,Castor Seed,Oilseeds,1442.0,Hectare,1230.0,Tonnes,0.85,Tonnes/Hectare
4072,4071, 1998-99,Karnataka,29,Chitradurga,533,Kharif     ,1002,Castor Seed,Oilseeds,1342.0,Hectare,1308.0,Tonnes,0.97,Tonnes/Hectare
4073,4072, 1998-99,Karnataka,29,Davangere,535,Kharif     ,1002,Castor Seed,Oilseeds,184.0,Hectare,157.0,Tonnes,0.85,Tonnes/Hectare
4074,4073, 1998-99,Karnataka,29,Dharwad,536,Kharif     ,1002,Castor Seed,Oilseeds,6.0,Hectare,5.0,Tonnes,0.83,Tonnes/Hectare
4075,4074, 1998-99,Karnataka,29,Gadag,537,Kharif     ,1002,Castor Seed,Oilseeds,67.0,Hectare,57.0,Tonnes,0.85,Tonnes/Hectare
4076,4075, 1998-99,Karnataka,29,Hassan,539,Kharif     ,1002,Castor Seed,Oilseeds,4275.0,Hectare,1978.0,Tonnes,0.46,Tonnes/Hectare
4077,4076, 1998-99,Karnataka,29,Haveri,540,Kharif     ,1002,Castor Seed,Oilseeds,148.0,Hectare,126.0,Tonnes,0.85,Tonnes/Hectare
4078,4077, 1998-99,Karnataka,29,Kalaburagi,538,Kharif     ,1002,Castor Seed,Oilseeds,34.0,Hectare,29.0,Tonnes,0.85,Tonnes/Hectare
4079,4078, 1998-99,Karnataka,29,Kolar,542,Kharif     ,1002,Castor Seed,Oilseeds,298.0,Hectare,254.0,Tonnes,0.85,Tonnes/Hectare
4080,4079, 1998-99,Karnataka,29,Koppal,543,Kharif     ,1002,Castor Seed,Oilseeds,2437.0,Hectare,2375.0,Tonnes,0.97,Tonnes/Hectare
4081,4080, 1998-99,Karnataka,29,Mandya,544,Kharif     ,1002,Castor Seed,Oilseeds,2069.0,Hectare,1765.0,Tonnes,0.85,Tonnes/Hectare
4082,4081, 1998-99,Karnataka,29,Mysuru,545,Kharif     ,1002,Castor Seed,Oilseeds,2476.0,Hectare,1146.0,Tonnes,0.46,Tonnes/Hectare
4083,4082, 1998-99,Karnataka,29,Raichur,546,Kharif     ,1002,Castor Seed,Oilseeds,578.0,Hectare,493.0,Tonnes,0.85,Tonnes/Hectare
4084,4083, 1998-99,Karnataka,29,Shivamogga,547,Kharif     ,1002,Castor Seed,Oilseeds,165.0,Hectare,141.0,Tonnes,0.85,Tonnes/Hectare
4085,4084, 1998-99,Karnataka,29,Tumakuru,548,Kharif     ,1002,Castor Seed,Oilseeds,5970.0,Hectare,6709.0,Tonnes,1.12,Tonnes/Hectare
4086,4085, 1998-99,Karnataka,29,Vijayapura,530,Kharif     ,1002,Castor Seed,Oilseeds,157.0,Hectare,134.0,Tonnes,0.85,Tonnes/Hectare
4087,4086, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,1006,Coconut,Oilseeds,571.0,Hectare,2728000.0,Tonnes,4777.58,Tonnes/Hectare
4088,4087, 1998-99,Karnataka,29,Ballari,528,Whole Year ,1006,Coconut,Oilseeds,1174.0,Hectare,5606000.0,Tonnes,4775.13,Tonnes/Hectare
4089,4088, 1998-99,Karnataka,29,Bangalore Rural,526,Whole Year ,1006,Coconut,Oilseeds,14114.0,Hectare,67405000.0,Tonnes,4775.75,Tonnes/Hectare
4090,4089, 1998-99,Karnataka,29,Belagavi,527,Whole Year ,1006,Coconut,Oilseeds,207.0,Hectare,890000.0,Tonnes,4299.52,Tonnes/Hectare
4091,4090, 1998-99,Karnataka,29,Bengaluru Urban,525,Whole Year ,1006,Coconut,Oilseeds,3347.0,Hectare,15984000.0,Tonnes,4775.62,Tonnes/Hectare
4092,4091, 1998-99,Karnataka,29,Bidar,529,Whole Year ,1006,Coconut,Oilseeds,2.0,Hectare,10000.0,Tonnes,5000.0,Tonnes/Hectare
4093,4092, 1998-99,Karnataka,29,Chamarajanagara,531,Whole Year ,1006,Coconut,Oilseeds,7019.0,Hectare,24995000.0,Tonnes,3561.05,Tonnes/Hectare
4094,4093, 1998-99,Karnataka,29,Chikkamagaluru,532,Whole Year ,1006,Coconut,Oilseeds,30041.0,Hectare,75720000.0,Tonnes,2520.56,Tonnes/Hectare
4095,4094, 1998-99,Karnataka,29,Chitradurga,533,Whole Year ,1006,Coconut,Oilseeds,36609.0,Hectare,214268000.0,Tonnes,5852.88,Tonnes/Hectare
4096,4095, 1998-99,Karnataka,29,Dakshina Kannada,534,Whole Year ,1006,Coconut,Oilseeds,12827.0,Hectare,54757000.0,Tonnes,4268.89,Tonnes/Hectare
4097,4096, 1998-99,Karnataka,29,Davangere,535,Whole Year ,1006,Coconut,Oilseeds,12423.0,Hectare,72710000.0,Tonnes,5852.85,Tonnes/Hectare
4098,4097, 1998-99,Karnataka,29,Dharwad,536,Whole Year ,1006,Coconut,Oilseeds,348.0,Hectare,1662000.0,Tonnes,4775.86,Tonnes/Hectare
4099,4098, 1998-99,Karnataka,29,Gadag,537,Whole Year ,1006,Coconut,Oilseeds,350.0,Hectare,1671000.0,Tonnes,4774.29,Tonnes/Hectare
4100,4099, 1998-99,Karnataka,29,Hassan,539,Whole Year ,1006,Coconut,Oilseeds,48845.0,Hectare,270410000.0,Tonnes,5536.08,Tonnes/Hectare
4101,4100, 1998-99,Karnataka,29,Haveri,540,Whole Year ,1006,Coconut,Oilseeds,738.0,Hectare,3524000.0,Tonnes,4775.07,Tonnes/Hectare
4102,4101, 1998-99,Karnataka,29,Kalaburagi,538,Whole Year ,1006,Coconut,Oilseeds,748.0,Hectare,3763000.0,Tonnes,5030.75,Tonnes/Hectare
4103,4102, 1998-99,Karnataka,29,Kodagu,541,Whole Year ,1006,Coconut,Oilseeds,776.0,Hectare,3708000.0,Tonnes,4778.35,Tonnes/Hectare
4104,4103, 1998-99,Karnataka,29,Kolar,542,Whole Year ,1006,Coconut,Oilseeds,2101.0,Hectare,10030000.0,Tonnes,4773.92,Tonnes/Hectare
4105,4104, 1998-99,Karnataka,29,Koppal,543,Whole Year ,1006,Coconut,Oilseeds,254.0,Hectare,1211000.0,Tonnes,4767.72,Tonnes/Hectare
4106,4105, 1998-99,Karnataka,29,Mandya,544,Whole Year ,1006,Coconut,Oilseeds,16761.0,Hectare,80063000.0,Tonnes,4776.74,Tonnes/Hectare
4107,4106, 1998-99,Karnataka,29,Mysuru,545,Whole Year ,1006,Coconut,Oilseeds,11821.0,Hectare,42095000.0,Tonnes,3561.04,Tonnes/Hectare
4108,4107, 1998-99,Karnataka,29,Raichur,546,Whole Year ,1006,Coconut,Oilseeds,90.0,Hectare,429000.0,Tonnes,4766.67,Tonnes/Hectare
4109,4108, 1998-99,Karnataka,29,Shivamogga,547,Whole Year ,1006,Coconut,Oilseeds,6638.0,Hectare,23434000.0,Tonnes,3530.28,Tonnes/Hectare
4110,4109, 1998-99,Karnataka,29,Tumakuru,548,Whole Year ,1006,Coconut,Oilseeds,83818.0,Hectare,551484000.0,Tonnes,6579.54,Tonnes/Hectare
4111,4110, 1998-99,Karnataka,29,Udupi,549,Whole Year ,1006,Coconut,Oilseeds,13003.0,Hectare,55508000.0,Tonnes,4268.86,Tonnes/Hectare
4112,4111, 1998-99,Karnataka,29,Uttara Kannada,550,Whole Year ,1006,Coconut,Oilseeds,5624.0,Hectare,26748000.0,Tonnes,4756.05,Tonnes/Hectare
4113,4112, 1998-99,Karnataka,29,Vijayapura,530,Whole Year ,1006,Coconut,Oilseeds,150.0,Hectare,717000.0,Tonnes,4780.0,Tonnes/Hectare
4114,4113, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,509,Coriander,Spices,43.0,Hectare,4.0,Tonnes,0.09,Tonnes/Hectare
4115,4114, 1998-99,Karnataka,29,Ballari,528,Whole Year ,509,Coriander,Spices,11095.0,Hectare,2241.0,Tonnes,0.2,Tonnes/Hectare
4116,4115, 1998-99,Karnataka,29,Bangalore Rural,526,Whole Year ,509,Coriander,Spices,129.0,Hectare,14.0,Tonnes,0.11,Tonnes/Hectare
4117,4116, 1998-99,Karnataka,29,Belagavi,527,Whole Year ,509,Coriander,Spices,465.0,Hectare,55.0,Tonnes,0.12,Tonnes/Hectare
4118,4117, 1998-99,Karnataka,29,Bengaluru Urban,525,Whole Year ,509,Coriander,Spices,12.0,Hectare,2.0,Tonnes,0.17,Tonnes/Hectare
4119,4118, 1998-99,Karnataka,29,Bidar,529,Whole Year ,509,Coriander,Spices,786.0,Hectare,83.0,Tonnes,0.11,Tonnes/Hectare
4120,4119, 1998-99,Karnataka,29,Chamarajanagara,531,Whole Year ,509,Coriander,Spices,166.0,Hectare,16.0,Tonnes,0.1,Tonnes/Hectare
4121,4120, 1998-99,Karnataka,29,Chikkamagaluru,532,Whole Year ,509,Coriander,Spices,1390.0,Hectare,142.0,Tonnes,0.1,Tonnes/Hectare
4122,4121, 1998-99,Karnataka,29,Chitradurga,533,Whole Year ,509,Coriander,Spices,698.0,Hectare,70.0,Tonnes,0.1,Tonnes/Hectare
4123,4122, 1998-99,Karnataka,29,Davangere,535,Whole Year ,509,Coriander,Spices,127.0,Hectare,13.0,Tonnes,0.1,Tonnes/Hectare
4124,4123, 1998-99,Karnataka,29,Dharwad,536,Whole Year ,509,Coriander,Spices,576.0,Hectare,59.0,Tonnes,0.1,Tonnes/Hectare
4125,4124, 1998-99,Karnataka,29,Gadag,537,Whole Year ,509,Coriander,Spices,113.0,Hectare,12.0,Tonnes,0.11,Tonnes/Hectare
4126,4125, 1998-99,Karnataka,29,Hassan,539,Whole Year ,509,Coriander,Spices,226.0,Hectare,28.0,Tonnes,0.12,Tonnes/Hectare
4127,4126, 1998-99,Karnataka,29,Haveri,540,Whole Year ,509,Coriander,Spices,518.0,Hectare,53.0,Tonnes,0.1,Tonnes/Hectare
4128,4127, 1998-99,Karnataka,29,Kalaburagi,538,Whole Year ,509,Coriander,Spices,46.0,Hectare,7.0,Tonnes,0.15,Tonnes/Hectare
4129,4128, 1998-99,Karnataka,29,Kolar,542,Whole Year ,509,Coriander,Spices,60.0,Hectare,6.0,Tonnes,0.1,Tonnes/Hectare
4130,4129, 1998-99,Karnataka,29,Koppal,543,Whole Year ,509,Coriander,Spices,413.0,Hectare,72.0,Tonnes,0.17,Tonnes/Hectare
4131,4130, 1998-99,Karnataka,29,Mysuru,545,Whole Year ,509,Coriander,Spices,639.0,Hectare,63.0,Tonnes,0.1,Tonnes/Hectare
4132,4131, 1998-99,Karnataka,29,Tumakuru,548,Whole Year ,509,Coriander,Spices,52.0,Hectare,6.0,Tonnes,0.12,Tonnes/Hectare
4133,4132, 1998-99,Karnataka,29,Vijayapura,530,Whole Year ,509,Coriander,Spices,381.0,Hectare,36.0,Tonnes,0.09,Tonnes/Hectare
4134,4133, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1101,Cotton(Lint),Fiber Crops,15225.0,Hectare,22129.0,Tonnes,1.45,Tonnes/Hectare
4135,4134, 1998-99,Karnataka,29,Ballari,528,Kharif     ,1101,Cotton(Lint),Fiber Crops,66412.0,Hectare,85696.0,Tonnes,1.29,Tonnes/Hectare
4136,4135, 1998-99,Karnataka,29,Belagavi,527,Kharif     ,1101,Cotton(Lint),Fiber Crops,65829.0,Hectare,98969.0,Tonnes,1.5,Tonnes/Hectare
4137,4136, 1998-99,Karnataka,29,Bidar,529,Kharif     ,1101,Cotton(Lint),Fiber Crops,3616.0,Hectare,3439.0,Tonnes,0.95,Tonnes/Hectare
4138,4137, 1998-99,Karnataka,29,Chamarajanagara,531,Kharif     ,1101,Cotton(Lint),Fiber Crops,12738.0,Hectare,32303.0,Tonnes,2.54,Tonnes/Hectare
4139,4138, 1998-99,Karnataka,29,Chikkamagaluru,532,Kharif     ,1101,Cotton(Lint),Fiber Crops,3270.0,Hectare,4898.0,Tonnes,1.5,Tonnes/Hectare
4140,4139, 1998-99,Karnataka,29,Chitradurga,533,Kharif     ,1101,Cotton(Lint),Fiber Crops,26795.0,Hectare,30271.0,Tonnes,1.13,Tonnes/Hectare
4141,4140, 1998-99,Karnataka,29,Davangere,535,Kharif     ,1101,Cotton(Lint),Fiber Crops,26284.0,Hectare,31242.0,Tonnes,1.19,Tonnes/Hectare
4142,4141, 1998-99,Karnataka,29,Dharwad,536,Kharif     ,1101,Cotton(Lint),Fiber Crops,86875.0,Hectare,160464.0,Tonnes,1.85,Tonnes/Hectare
4143,4142, 1998-99,Karnataka,29,Gadag,537,Kharif     ,1101,Cotton(Lint),Fiber Crops,62230.0,Hectare,69246.0,Tonnes,1.11,Tonnes/Hectare
4144,4143, 1998-99,Karnataka,29,Hassan,539,Kharif     ,1101,Cotton(Lint),Fiber Crops,5225.0,Hectare,5688.0,Tonnes,1.09,Tonnes/Hectare
4145,4144, 1998-99,Karnataka,29,Haveri,540,Kharif     ,1101,Cotton(Lint),Fiber Crops,79382.0,Hectare,91997.0,Tonnes,1.16,Tonnes/Hectare
4146,4145, 1998-99,Karnataka,29,Kalaburagi,538,Kharif     ,1101,Cotton(Lint),Fiber Crops,20113.0,Hectare,38605.0,Tonnes,1.92,Tonnes/Hectare
